ano;país;vl_usd_milhoes_exp;vl_usd_milhoes_imp;saldo_usd_milhoes;corrente_comercio
2022;São Tomé e Príncipe;3.959326;0.003199;4;4
2022;Macau;3.91849;9.89602;-6;14
2022;São Bartolomeu;3.224305;0.0;3;3
2022;Malavi;3.187908;2.07667;1;5
2022;Papua Nova Guiné;2.9714;0.099139;3;3
2022;Santa Lúcia;2.910366;0.000333;3;3
2022;Tonga;2.802907;0.002374;3;3
2022;Afeganistão;2.751417;0.303499;2;3
2022;Níger;2.627944;0.071114;3;3
2022;Bósnia-Herzegovina;2.618971;4.662666;-2;7
2022;Guiné-Bissau;2.148738;0.36226;2;3
2022;Ruanda;1.966214;0.033484;2;2
2022;Norfolk, Ilha;1.960994;0.002501;2;2
2022;Turcas e Caicos, Ilhas;1.928649;0.0;2;2
2022;Mongólia;1.841202;0.777944;1;3
2022;Botsuana;1.824836;0.013124;2;2
2022;Fiji;1.821004;0.086983;2;2
2022;Butão;1.762189;0.510305;1;2
2022;Samoa Americana;1.588762;0.025715;2;2
2022;Samoa;1.540343;1.942558;0;3
2022;Laos;1.372211;3.299744;-2;5
2022;Guam;1.156492;0.000211;1;1
2022;Pitcairn;0.97413;9.2e-05;1;1
2022;Anguilla;0.937232;0.200653;1;1
2022;Terras Austrais Francesas;0.897213;0.0;1;1
2022;Brunei;0.854748;20.462286;-20;21
2022;Cook, Ilhas;0.805683;0.0;1;1
2022;São Martinho, Ilha de (parte francesa);0.528902;1.9e-05;1;1
2022;Niue;0.526168;0.406833;0;1
2022;Vanuatu;0.500259;0.026266;0;1
2022;Pacífico, Ilhas do (EUA);0.318263;0.393163;0;1
2022;Mônaco;0.135481;5.146158;-5;5
2022;Tadjiquistão;0.086539;7.760939;-8;8
2022;San Marino;0.058307;13.54131;-13;14
2022;Toquelau;0.017463;1.526563;-2;2
2022;Aland, Ilhas;0.002368;1.224682;-1;1
